# CSV-File created with merge-csv.com
# -----------------------------------------------------------

Arunachal Pradesh,2008,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Assam,2008,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Bihar,2008,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Chandigarh,2008,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Chhattisgarh,2008,HR_Disappearance of Persons,01. Disappearance of Persons,2,0,0
Gujarat,2008,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Haryana,2008,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Himachal Pradesh,2008,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Jammu & Kashmir,2008,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Karnataka,2008,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Maharashtra,2008,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Manipur,2008,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Meghalaya,2008,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Mizoram,2008,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Nagaland,2008,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Odisha,2008,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
West Bengal,2008,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Andhra Pradesh,2009,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Arunachal Pradesh,2009,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Assam,2009,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Bihar,2009,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Chandigarh,2009,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Chhattisgarh,2009,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Gujarat,2009,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Haryana,2009,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Himachal Pradesh,2009,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Jammu & Kashmir,2009,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Karnataka,2009,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Maharashtra,2009,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Manipur,2009,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Meghalaya,2009,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Nagaland,2009,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Odisha,2009,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Tamil Nadu,2009,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
West Bengal,2009,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Andhra Pradesh,2010,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Arunachal Pradesh,2010,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Bihar,2010,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Chhattisgarh,2010,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Gujarat,2010,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Haryana,2010,HR_Disappearance of Persons,01. Disappearance of Persons,NULL,0,NULL
Himachal Pradesh,2010,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Jammu & Kashmir,2010,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Karnataka,2010,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Maharashtra,2010,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Manipur,2010,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Meghalaya,2010,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
